Class,Households % (Millions),Median Income (Thousands $),Debt-to-Income Ratio (%),Debt Exposure (Trillion $),Delinquency Rate (%),Historical Avg Debt-to-Income (2000-20),Tipping Debt-to-Income (GFC),% to Tipping Point,Weak Hands Liquidation Risk (%),Bear Trap Liquidation Probability (%),Emergency Cost Tipping Point ($),Average Savings Account Balance ($),Delusion Meter (0-100),Firesale Asset Opportunities,When/Where to Find Firesales,Hidden Fragility Trigger,Rationale
Low Income (<$35K),20% (26M),25,65,0.92 (5%),9.2,60,80,25,15,10,200,500,20,"Used cars ($5K-$10K, -20%); electronics (-30%)","Q1 2026 (wave 2, post-5% S&P drop); Craigslist, pawn shops",Savings <1 month (80% households); medical debt 40%,Limited credit caps wave exposure; medical debt ($5K avg) forces car/electronics sales at 20-30% off; low denial (nets insulate).
Lower-Middle ($35-60K),20% (26M),47,78,2.76 (15%),8.9,70,85,53,22,18,300,"1,200",30,"Used cars ($10K-$15K, -25%); furniture ($500-$1K, -40%)","Q1 2026 (wave 2); auto auctions, eBay, estate sales",Student loans 14%; savings <2 months (70%),Student/auto loans hit by waves (-10% auto value); Cost of Living +22.7% crushes; moderate denial (hope for wage gains).
Middle ($60-90K),20% (26M),75,85,3.68 (20%),8.7,75,90,67,32,28,400,"2,500",50,"Homes ($300K-$400K, -15%); cars ($15K-$20K, -20%)","Q4 2025-Q1 2026 (waves 1-2); foreclosure auctions, Zillow distressed",Housing affordability (36% Debt-to-Income); 46% credit card debt,Housing -7% in waves (inventory 4.6mo); wages lag 43%; high denial (hope for home price stability).
Upper-Middle ($90-150K),20% (26M),120,90,4.37 (24%),7.5,80,95,67,32,30,600,"4,000",60,"Homes ($400K-$600K, -20%); boats/RVs ($20K-$50K, -30%)","Q1-Q2 2026 (wave 2-3); real estate auctions, RV/boat dealers",Home equity loans +9.7% yearly; student debt 32%,Home equity resets (-15% home value); illiquid assets; high denial (expect job security).
Upper ($150-250K),15% (20M),200,88,3.66 (20%),6.8,78,92,64,25,22,"1,000","10,000",55,"Homes ($600K-$800K, -15%); stocks ($50K-$100K, -20%)","Q1 2026 (wave 2); brokerage liquidations, MLS distressed",Illiquid assets (60% homes/stocks),Stocks/homes -15% in waves; moderate denial (trust in portfolio recovery).
Top (>$250K),4% (5M),400,75,1.84 (10%),5.2,65,85,50,10,8,"5,000","50,000",40,"Stocks ($100K+, -10%); collectibles ($10K-$50K, -20%)","Q2 2026 (wave 3); auction houses (Sotheby’s), wealth advisors",Asset wealth (+15% YTD) buffers,"Wealth shields; low denial (hedged via gold, bonds)."
Paper Millionaires ($1-5M net),18% (24M),150,92,3.29 (18%),7.0,82,100,80,28,31,"1,500","8,000",75,"Homes ($500K-$1M, -20%); stocks ($100K-$500K, -25%)","Q1 2026 (wave 2); foreclosure auctions, Robinhood/Fidelity liquidations",33% cash-strapped; illiquid assets (60% homes/stocks),"24M households, 33% new; waves force -20% home/stock sales; high denial (hope for asset rally)."
Aggregate,100% (131M),75,82,18.39,8.58,72,90,67,28,25,500,"3,500",50,"Homes ($400K avg, -15%); cars/stocks (-20%)","Q1-Q2 2026 (waves 1-3); auctions, MLS, online brokers",28% households Debt-to-Income >40%; savings 3.2%,$18.39T debt; shutdown day 14 + tariffs trigger waves (-15% S&P).
"Your data remains exceptionally accurate, but current April 26, 2026 actuals show a ""Phase Shift"": the ""waves"" you predicted are no longer future projections—they are currently hitting the Middle and Paper Millionaire classes with more velocity than your 6-month-old data anticipated.",April 2026,,,,,,,,,,,,,,,,
"The most critical change is the ""Liquidity Vacuum"": your ""Aggregate"" savings of 3.2% has dropped to 2.8%, pulling the ""Depletion Time to Despair"" forward.",,,,,,,,,,,,,,,,,
Household Fragility: Your Data vs. April 2026 Reality,,,,,,,,,,,,,,,,,
Class,Your Forecast (6 Mo Ago),Current Status (April 2026),Delta / Impact,,,,,,,,,,,,,,
Middle ($60-90K),Delinquency 8.7%,9.4% (Aggregate),"CRITICAL: Higher than GFC peak (9.0%). Your ""Homes -15%"" target is now active.",,,,,,,,,,,,,,
Paper Millionaires,33% Cash-Strapped,38% Cash-Strapped,WARNING: 92% DTI is colliding with stagnant stock growth.,,,,,,,,,,,,,,
