Date/Period,Description & Facts,U.S. President (if applicable) & Party,Political Party Role,Heroes,Heroes' Party,Villains,Villains' Party,Scapegoats,Scapegoats' Party,Year,Interval,Z_score,Economic Influence,Elite Group Trace
1215,"Magna Carta (Global precursor): Limited monarch's power; early protections against arbitrary arrest/trial, influencing U.S. Bill of Rights.",N/A,N/A,King John (forced signer); Barons who demanded reforms.,N/A,N/A,N/A,"Feudal subjects (serfs, early ""outsiders"").",N/A,1215,0.0,-0.313756,Feudal land profits delayed broader rights.,Feudal barons (self-interest).
1692–1693,"Salem Witch Trials: 20 executed, 200+ accused in Puritan Massachusetts; mass hysteria led to spectral evidence trials. Exposed flaws in due process.",N/A (Colonial era),N/A,"Rev. Increase Mather (criticized trials, helped end them).",N/A,Judges like William Stoughton (enforced spectral evidence); Rev. Samuel Parris (fueled accusations).,N/A,"Accused women (e.g., Tituba, an enslaved woman; Bridget Bishop, independent widow) blamed for community ills.",N/A,1692,477.0,5.440181,Colonial trade profits ignored due process.,Religious elites (Puritan leaders).
1776–1787,"U.S. Declaration of Independence & Constitution: Declared ""all men created equal"" but excluded women/slaves; set stage for amendments expanding rights.",N/A (Founding era),Emerging parties: Federalists (pro-central gov't).,"Thomas Jefferson (author, despite slaveholding hypocrisy).",Democratic-Republican (D-R),"Slaveholders among Founders (e.g., Jefferson).",D-R,"Enslaved Africans, Native Americans (denied citizenship).",N/A,1776,84.0,0.704104,Slave economy excluded groups for profit.,Plantation owners (Founders).
1789,French Revolution & Declaration of the Rights of Man: Emphasized liberty/equality; inspired U.S. abolitionists.,"George Washington (R, no formal party)",N/A,Marquis de Lafayette (key drafter).,N/A,Monarch Louis XVI.,N/A,Aristocracy (scapegoated for economic woes).,N/A,1789,13.0,-0.152241,Economic woes scapegoated aristocracy.,Monarchy/aristocracy.
1800s (ongoing),Slavery & Abolition Movement: Transatlantic slave trade peaked; U.S. enslaved ~4M by 1860.,"Various (e.g., Jefferson, D-like; Monroe, D-R).",Democrats: Pro-slavery South; Whigs/early Republicans: Anti-expansion.,"Frederick Douglass (escaped slave, orator); Harriet Tubman (Underground Railroad).",Republican (Douglass); N/A (Tubman),Plantation owners; Fugitive Slave Act enforcers.,Democrat (Southern),"Enslaved Black people (blamed for ""moral decay"").",N/A,1800,11.0,-0.176009,Bankers/merchants funded trade for sugar profits.,German/Italian/British bankers.
1861–1865,"U.S. Civil War & Emancipation Proclamation: War killed 620K; Proclamation freed 3.5M slaves in Confederate states (Jan. 1, 1863).",Abraham Lincoln (R),Republicans: Led abolition; Democrats: Split (Southern pro-slavery).,Lincoln; Union Gen. Ulysses S. Grant.,Republican,Confederate Pres. Jefferson Davis (D).,Democrat,Slaves (used as war justification scapegoats).,N/A,1861,61.0,0.430869,War ended slavery but economic gains post-emancipation.,Southern plantation elites.
1865–1870,13th–15th Amendments & Reconstruction: Ended slavery; granted citizenship/voting to Black men. ~2K Black officeholders.,"Andrew Johnson (D, post-Lincoln); Ulysses S. Grant (R).",Republicans: Pushed amendments; Democrats: Southern resistance (Black Codes).,"Thaddeus Stevens (R Congressman, radical reformer).",Republican,Johnson (vetoed rights bills); KKK founders.,Democrat (Johnson); N/A (KKK),"Freed Black people (lynched as ""threats"").",N/A,1865,4.0,-0.259546,Economic resistance via Black Codes for cheap labor.,Southern Democrats/KKK.
1896,"Plessy v. Ferguson: Upheld ""separate but equal"" segregation; reversed Reconstruction gains.","Grover Cleveland (D, prior); William McKinley (R).",Democrats: Southern Jim Crow enforcers; Republicans: Northern support waned.,N/A (loss for rights).,N/A,Supreme Court majority.,N/A,"Black Americans (segregated as ""inferior"").",N/A,1896,31.0,0.071297,Jim Crow preserved low-wage economy.,Southern economic elites.
1920,19th Amendment (Women's Suffrage): Women gain vote after Seneca Falls (1848) & decades of activism; global wave post-WWI.,Woodrow Wilson (D),Democrats: Mixed (Southern opposition); Republicans: Earlier support.,Susan B. Anthony; Alice Paul (hunger strikes).,N/A,"Anti-suffragists (e.g., Southern politicians).",Democrat (Southern),"Women (portrayed as ""unfit"" for politics).",N/A,1920,24.0,-0.009460,Post-WWI economic shifts aided.,Elite women's organizations (NAWSA).
1933–1945,"Holocaust (Global): Nazis murdered 6M Jews, 5M others (Roma, disabled, LGBTQ+, Poles). Key events: Nuremberg Laws (1935); Kristallnacht (1938); Wannsee Conference (1942); Auschwitz liberation (1945).","Franklin D. Roosevelt (D, 1933–1945)","U.S. Democrats: Delayed refugee aid (e.g., St. Louis ship turned away, 1939); isolationism. Global: Nazi Party (far-right).","Raoul Wallenberg (diplomat, saved 100K Jews); Oskar Schindler.",N/A,Adolf Hitler; Heinrich Himmler (SS leader).,Nazi Party,Jews (scapegoated for economic woes); LGBTQ+ (pink triangles in camps).,N/A,1933,13.0,-0.152241,Industrialists funded Nazis for war profits.,German bankers/Krupp/IG Farben.
