U.S. President,Term,World Leader (UK/Germany/Japan),Global Crash Event,U.S. Scapegoat or Hero,Global Scapegoat or Hero (UK/Germany/Japan),Major Factors (Crash or Recovery),Time to Recover (Years),Years Between Crashes,Dollar Value Impact (2025 Dollars),Money Spent (2025 Dollars),Institutional Ties (U.S./Global),Global Market Impact Left for Successor,Successor Leaders (U.S./UK/Germany/Japan),Successors’ Outcome,Crucial Points (Probability Meter)
T. Roosevelt (Republican),1901-1909,"Salisbury/Balfour/Campbell-Bannerman (Conservative/Liberal, UK), Bülow (Conservative, Germany), Saionji (Liberal, Japan)","October 1907, -50% (Dow Jones)","Scapegoat: Dow -50%, blamed for weak regulation; Hero: Dow +30% by 1909 (Taft: Hero, recovery)","Neutral: UK (FTSE proxy -20%), Germany (DAX proxy -25%), Japan (Nikkei proxy flat)","Risky banking, liquidity crisis, $16B debt",2 (1909),First major crash,$178.5B loss,$10B (U.S. loans),Medium (U.S. banks)/Low (global),"Post-crash, recovery potential","Taft (Republican)/Asquith (Liberal, UK)/Bülow (Conservative, Germany)/Katsura (Liberal, Japan)","Hero: Dow +20%, FTSE proxy +15%, DAX proxy +10%, Nikkei proxy +5%",40% (banks gained)
Wilson (Democrat),1913-1921,"Asquith/Lloyd George (Liberal, UK), Bethmann-Hollweg (Conservative, Germany), Terauchi (Seiyukai, Japan)",None,"No crash: WWI boom, set stage for 1920s speculation","No crash: UK (FTSE proxy +10%), Germany (DAX proxy flat, war), Japan (Nikkei proxy +5%)","WWI boom, central bank created (1913)",No crash,No crash,No crash,$50B (U.S. WWI spending),Medium (U.S. central bank)/Medium (global),"High valuations, crash risk","Harding (Republican)/Lloyd George (Liberal, UK)/Wirth (Centre, Germany)/Takahashi (Seiyukai, Japan)",No crash,No crash
Hoover (Republican),1929-1933,"MacDonald (Labour, UK), Brüning (Centre, Germany), Hamaguchi (Minsei, Japan)","October 1929, -80% (global indices)","Scapegoat: S&P 500 -89%; Roosevelt (Democrat, 1933-1945): Public works ($11B), bank rules, WWII spending, recovery by 1954","Scapegoat: UK (FTSE -60%), Germany (DAX -70%), Japan (Nikkei -65%)","Stock speculation, U.S. trade tariffs, $20B debt",25 (1954),22,$2T loss,$100B (U.S. loans),Low (U.S. pro-business)/Medium (global banks),"Low valuations, recovery potential","Roosevelt (Democrat)/Baldwin (Conservative, UK)/Hitler (Nazi, Germany)/Saito (Minsei, Japan)","Hero (U.S./UK): S&P 500 +194%, FTSE +50%; Scapegoat (Germany/Japan): WWII",40% (banks consolidated)
F. Roosevelt (Democrat),1933-1945,"Baldwin (Conservative, UK), Hitler (Nazi, Germany), Saito (Minsei, Japan)",None,"Hero: S&P 500 +194%, New Deal/WWII recovery","Hero: UK (FTSE +50%), Scapegoat: Germany (DAX flat, war), Japan (Nikkei flat, war)","WWII spending, U.S. $260B debt",No crash,No crash,$1T gain,$250B (U.S. public works),Medium (U.S. bank rules)/Low (global),Strong growth potential,"Truman (Democrat)/Attlee (Labour, UK)/Adenauer (CDU, Germany)/Yoshida (Liberal, Japan)","Hero: S&P 500 +81.7%, FTSE +30%, DAX +20%, Nikkei +25%",No crash
Truman (Democrat),1945-1953,"Attlee (Labour, UK), Adenauer (CDU, Germany), Yoshida (Liberal, Japan)",None,"No crash: Post-WWII boom, central bank independence (1951)","No crash: UK (FTSE +30%), Germany (DAX +20%), Japan (Nikkei +25%)","Post-WWII boom, $270B debt",No crash,No crash,$600B gain,$600B (U.S./Europe aid),Low (U.S. workers)/Low (global),"Stable growth, crash risk","Eisenhower (Republican)/Churchill (Conservative, UK)/Adenauer (CDU, Germany)/Yoshida (Liberal, Japan)",No crash,No crash
Eisenhower (Republican),1953-1961,"Churchill/Eden (Conservative, UK), Adenauer (CDU, Germany), Yoshida/Hatoyama (Liberal/LDP, Japan)",None,"No crash: Stable growth, highway construction","No crash: UK (FTSE +20%), Germany (DAX +30%), Japan (Nikkei +40%)","Stable growth, $290B debt",No crash,No crash,No crash,$100B (U.S. aid),Medium (U.S. companies)/Medium (global),"Long cycle, crash risk","Kennedy (Democrat)/Macmillan (Conservative, UK)/Adenauer (CDU, Germany)/Ikeda (LDP, Japan)",No crash,No crash
Kennedy (Democrat),1961-1963,"Macmillan (Conservative, UK), Adenauer (CDU, Germany), Ikeda (LDP, Japan)",None,"No crash: 1962 drop (-5.7%), tax cuts, space program","No crash: UK (FTSE +15%), Germany (DAX +20%), Japan (Nikkei +30%)","Tax cuts, $310B debt",No crash,No crash,No crash,$50B (U.S. aid),Medium (U.S. Wall Street)/Medium (global),"Long cycle, crash risk","Johnson (Democrat)/Douglas-Home (Conservative, UK)/Erhard (CDU, Germany)/Sato (LDP, Japan)",No crash,No crash
Johnson (Democrat),1963-1969,"Douglas-Home/Wilson (Conservative/Labour, UK), Erhard/Kiesinger (CDU, Germany), Sato (LDP, Japan)",None,"No crash: Social programs, Vietnam raised prices","No crash: UK (FTSE +10%), Germany (DAX +15%), Japan (Nikkei +25%)","Vietnam, $360B debt, inflation",No crash,No crash,$900B gain,$900B (U.S. social/war),Medium (U.S. military)/Medium (global),"Long cycle, crash risk","Nixon (Republican)/Wilson (Labour, UK)/Kiesinger (CDU, Germany)/Sato (LDP, Japan)",Scapegoat: S&P 500 -25%/-48%,No crash
Nixon (Republican),1969-1974,"Wilson/Heath (Labour/Conservative, UK), Brandt (SPD, Germany), Tanaka (LDP, Japan)","January 1970, -25% (MSCI World)","Scapegoat: S&P 500 -25%; Carter (Democrat, 1977-1981): Volcker’s rate hikes, recovery by 1972","Scapegoat: UK (FTSE -30%), Germany (DAX -20%), Japan (Nikkei -15%)","Central bank tightening, Vietnam, $700B debt",2 (1972),41,$200B loss,$15B (U.S. easing),Medium (U.S. banks)/Medium (global),"Post-crash, recovery potential","Ford (Republican)/Wilson (Labour, UK)/Schmidt (SPD, Germany)/Tanaka (LDP, Japan)","Hero: S&P 500 flat, FTSE +20%","50% (dollar change, banks gained)"
Nixon/Ford (Republican),1969-1977,"Heath/Wilson (Conservative/Labour, UK), Brandt/Schmidt (SPD, Germany), Tanaka/Miki (LDP, Japan)","January 1973-October 1974, -45% (MSCI World)","Scapegoat: S&P 500 -48%; Carter (Democrat, 1977-1981): Volcker’s 20% rates, Reagan tax cuts, recovery by 1982","Scapegoat: UK (FTSE -70%), Germany (DAX -40%), Japan (Nikkei -35%)","Oil embargo, $700B debt, inflation",8 (1982),3,$1.5T loss,$50B (U.S. aid),Medium (U.S. banks)/Medium (global oil),"Low valuations, recovery potential","Carter (Democrat)/Callaghan (Labour, UK)/Schmidt (SPD, Germany)/Fukuda (LDP, Japan)","Hero: S&P 500 flat, FTSE +20%, DAX +25%, Nikkei +30%","60% (oil companies, banks gained)"
Carter (Democrat),1977-1981,"Callaghan (Labour, UK), Schmidt (SPD, Germany), Fukuda (LDP, Japan)",None,"Recovery: Volcker’s rate hikes, 1970/1973 recovery","Hero: UK (FTSE +20%), Germany (DAX +25%), Japan (Nikkei +30%)","High inflation, $900B debt, rate hikes",No crash,No crash,No crash,$50B (U.S. aid),Low (U.S. workers)/Low (global),"Short cycle, crash risk","Reagan (Republican)/Thatcher (Conservative, UK)/Kohl (CDU, Germany)/Nakasone (LDP, Japan)",Scapegoat: S&P 500 -22%,No crash
Reagan (Republican),1981-1989,"Thatcher (Conservative, UK), Kohl (CDU, Germany), Nakasone (LDP, Japan)","October 1987, -30% (MSCI World)","Scapegoat: S&P 500 -22%; G.H.W. Bush (Republican, 1989-1993): Rate cuts, tech growth, recovery by 1989","Scapegoat: UK (FTSE -26%), Germany (DAX -30%), Japan (Nikkei -20%)","Automated trading, $2.8T debt",2 (1989),13,$1T loss,$15B (U.S. funds),High (U.S. Wall Street)/High (global banks),"Post-crash, growth potential","G.H.W. Bush (Republican)/Major (Conservative, UK)/Kohl (CDU, Germany)/Miyazawa (LDP, Japan)","Hero: S&P 500 +45%, FTSE +40%, DAX +35%, Nikkei +50%",30% (market-driven)
G.H.W. Bush (Republican),1989-1993,"Major (Conservative, UK), Kohl (CDU, Germany), Miyazawa (LDP, Japan)",None,"Recovery: 1987 recovery, tech growth","Hero: UK (FTSE +40%), Germany (DAX +35%), Japan (Nikkei +50%)","Tech bubble start, $4.4T debt",No crash,No crash,No crash,$20B (U.S. bailouts),High (U.S. Wall Street)/High (global),"Moderate cycle, crash risk","Clinton (Democrat)/Major/Blair (Conservative/Labour, UK)/Kohl (CDU, Germany)/Hashimoto (LDP, Japan)",Hero: S&P 500 +226.6%,No crash
Clinton (Democrat),1993-2001,"Major/Blair (Conservative/Labour, UK), Kohl/Schröder (CDU/SPD, Germany), Hashimoto/Obuchi (LDP, Japan)",None,"No crash: Tech bubble, fewer bank rules (1999)","Hero: UK (FTSE +80%), Germany (DAX +90%), Japan (Nikkei flat, bubble burst)","Dot-com bubble, $5.6T debt",No crash,No crash,$5T gain,$35B (U.S. surplus),High (U.S. banks)/High (global),"High valuations, crash risk","G.W. Bush (Republican)/Blair (Labour, UK)/Schröder (SPD, Germany)/Koizumi (LDP, Japan)",Scapegoat: S&P 500 -49%/-57%,No crash
G.W. Bush (Republican),2001-2009,"Blair/Brown (Labour, UK), Schröder/Merkel (SPD/CDU, Germany), Koizumi/Abe (LDP, Japan)","March 2000-March 2002, -40% (MSCI World)","Scapegoat: Tech -78%, S&P 500 -49%; Obama (Democrat, 2009-2017): $787B stimulus, $4T central bank, recovery by 2007","Scapegoat: UK (FTSE -40%), Germany (DAX -50%), Japan (Nikkei -30%)","Dot-com bubble, 9/11, $10T debt",5 (2007),13,$2T loss,$80B (U.S. aid),High (U.S. banks)/High (global),"Low valuations, recovery potential","Obama (Democrat)/Brown/Cameron (Labour/Conservative, UK)/Merkel (CDU, Germany)/Abe (LDP, Japan)",Hero: S&P 500 +149.4%,50% (banks bought cheap)
G.W. Bush (Republican),2001-2009,"Blair/Brown (Labour, UK), Schröder/Merkel (SPD/CDU, Germany), Koizumi/Abe (LDP, Japan)","October 2007-March 2009, -55% (MSCI World)","Scapegoat: S&P 500 -57%; Obama (Democrat, 2009-2017): $787B stimulus, $4T central bank, recovery by 2013","Scapegoat: UK (FTSE -50%), Germany (DAX -60%), Japan (Nikkei -50%)","Housing bubble, risky loans, $10T debt",4 (2013),6,$7T loss,$1T (U.S. bailouts),High (U.S. banks)/High (global banks),"Low valuations, recovery potential","Obama (Democrat)/Brown/Cameron (Labour/Conservative, UK)/Merkel (CDU, Germany)/Abe (LDP, Japan)",Hero: S&P 500 +149.4%,80% (banks saved)
