U.S. President,Term,World Leader (UK/Germany/Japan),Global Crash Event,U.S. Scapegoat or Hero,Global Scapegoat or Hero (UK/Germany/Japan),Assassination Attempts,"Detailed Factors (Pre-Crash, Triggers, Post-Crash)",Time to Recover (Years),Years Between Crashes,Dollar Value Impact (2025 Dollars),Money Spent (2025 Dollars),Institutional Ties (U.S./Global),Major Facts (Critical Impacts),Global Market Impact Left for Successor,Successor Leaders (U.S./UK/Germany/Japan),Successors’ Outcome,Probability Meter
T. Roosevelt (Republican),1901-1909,"Salisbury/Balfour/Campbell-Bannerman (Conservative/Liberal, UK), Bülow (Conservative, Germany), Saionji (Liberal, Japan)","Oct 1907, -50% (Dow)","Scapegoat: Dow -50%, blamed for lax regulation; Hero: Dow +30% by 1909","Neutral: UK (FTSE proxy -20%), Germany (DAX proxy -25%), Japan (Nikkei proxy flat)","Oct 14, 1912: John Schrank shot Roosevelt (former president, campaigning); wounded, delivered speech, survived","Pre-Crash: Unregulated trusts, speculative loans, no central bank (pre-Fed), $16B debt, P/E ~15. Triggers: Knickerbocker Trust failure, bank runs, liquidity crisis. Post-Crash: J.P. Morgan-led bailout stabilized banks, trusts consolidated power, Fed creation (1913) spurred, limited global spill.",2 (1909),First crash,$178.5B loss,$10B (U.S. loans),Medium (U.S. banks)/Low (global),"Banks gained control; trust-busting intensified; global markets less integrated, limiting spill.","Post-crash, low valuations, recovery potential","Taft (Republican)/Asquith (Liberal, UK)/Bülow (Conservative, Germany)/Katsura (Liberal, Japan)","Hero: Dow +20%, FTSE proxy +15%, DAX proxy +10%, Nikkei proxy +5%",40% (banks gained)[](https://en.wikipedia.org/wiki/List_of_United_States_presidential_assassination_attempts_and_plots)
Wilson (Democrat),1913-1921,"Asquith/Lloyd George (Liberal, UK), Bethmann-Hollweg (Conservative, Germany), Terauchi (Seiyukai, Japan)",None,"No crash: WWI boom, set 1920s speculation","No crash: UK (FTSE proxy +10%), Germany (DAX proxy flat, war), Japan (Nikkei proxy +5%)",None,"Pre-Crash: Fed created (1913), WWI export boom, low debt (30% GDP), P/E ~18. Triggers: No crash. Post-Crash: Post-WWI inflation (15%), speculative stock buying, $25B debt, set stage for 1929 crash.",No crash,No crash,No crash,$50B (U.S. WWI spending),Medium (U.S. Fed)/Medium (global banks),"Fed’s role grew; U.S. banks/companies enriched; Europe’s war debt weakened UK/Germany, Japan stable.","High valuations, crash risk","Harding (Republican)/Lloyd George (Liberal, UK)/Wirth (Centre, Germany)/Takahashi (Seiyukai, Japan)",No crash,No crash
Hoover (Republican),1929-1933,"MacDonald (Labour, UK), Brüning (Centre, Germany), Hamaguchi (Minsei, Japan)","Oct 1929, -80% (global indices)","Scapegoat: S&P 500 -89%; Roosevelt (Democrat, 1933-1945): $11B public works, bank rules, WWII spending, recovery by 1954","Scapegoat: UK (FTSE -60%), Germany (DAX -70%), Japan (Nikkei -65%)",None,"Pre-Crash: Overvalued stocks (P/E ~32), margin debt (10% of GDP), Smoot-Hawley tariffs (1930), $20B debt. Triggers: Black Tuesday, bank failures, global trade collapse. Post-Crash: Banks bought assets cheap, 25% unemployment (U.S./UK), global depression, trade fell 50% (BIS), Germany/Japan political upheaval.",25 (1954),22,$2T loss,$100B (U.S. loans),Low (U.S. pro-business)/Medium (global banks),Banks consolidated power; tariffs crippled trade; Germany’s instability led to WWII; Japan militarized.,"Low valuations, recovery potential","Roosevelt (Democrat)/Baldwin (Conservative, UK)/Hitler (Nazi, Germany)/Saito (Minsei, Japan)","Hero (U.S./UK): S&P 500 +194%, FTSE +50%; Scapegoat (Germany/Japan): WWII",40% (banks consolidated)
F. Roosevelt (Democrat),1933-1945,"Baldwin (Conservative, UK), Hitler (Nazi, Germany), Saito (Minsei, Japan)",None,"Hero: S&P 500 +194%, New Deal/WWII recovery","Hero: UK (FTSE +50%), Scapegoat: Germany (DAX flat, war), Japan (Nikkei flat, war)","Feb 17, 1933: Giuseppe Zangara shot at Roosevelt (president-elect) in Miami; missed, killed Chicago mayor, executed","Pre-Crash: 1929 depression, 25% unemployment, bank failures, $22B debt. Triggers: No crash. Post-Crash: New Deal ($11B public works), Glass-Steagall bank reforms, WWII spending ($4T global, $260B U.S.) drove recovery, low P/E (~10) post-1929.",No crash,No crash,$1T gain,$250B (U.S. public works),Medium (U.S. bank rules)/Low (global),U.S. became global economic leader; UK recovered via war spending; Germany/Japan crippled by WWII.,"Strong growth, low valuations","Truman (Democrat)/Attlee (Labour, UK)/Adenauer (CDU, Germany)/Yoshida (Liberal, Japan)","Hero: S&P 500 +81.7%, FTSE +30%, DAX +20%, Nikkei +25%",No crash[](https://www.smithsonianmag.com/history/history-presidential-assassination-attempts-andrew-jackson-teddy-roosevelt-180984708/)
Truman (Democrat),1945-1953,"Attlee (Labour, UK), Adenauer (CDU, Germany), Yoshida (Liberal, Japan)",None,"No crash: Post-WWII boom, Fed independence (1951)","No crash: UK (FTSE +30%), Germany (DAX +20%), Japan (Nikkei +25%)","Nov 1, 1950: Oscar Collazo, Griselio Torresola attempted to storm Blair House; killed guard, both assailants killed/convicted","Pre-Crash: WWII recovery, U.S. dominance, low debt (50% GDP). Triggers: No crash. Post-Crash: Marshall Plan ($13B), Fed independence (1951), consumer boom, P/E ~15, $270B debt, set long growth cycle.",No crash,No crash,$600B gain,$600B (U.S./Europe aid),Low (U.S. workers)/Low (global),U.S. GDP doubled; Europe/Japan rebuilt via U.S. aid; Cold War spending raised debt.,"Stable growth, crash risk","Eisenhower (Republican)/Churchill (Conservative, UK)/Adenauer (CDU, Germany)/Yoshida (Liberal, Japan)",No crash,No crash[] https://en.wikipedia.org/wiki/List_of_United_States_presidential_assassination_attempts_and_plots
Eisenhower (Republican),1953-1961,"Churchill/Eden (Conservative, UK), Adenauer (CDU, Germany), Yoshida/Hatoyama (Liberal/LDP, Japan)",None,"No crash: Stable growth, highway construction","No crash: UK (FTSE +20%), Germany (DAX +30%), Japan (Nikkei +40%)",None,"Pre-Crash: Post-WWII boom, low debt (60% GDP), P/E ~15. Triggers: No crash, 1957-58 dip (-10%). Post-Crash: Highway Act ($25B), corporate growth, P/E ~18, $290B debt, Japan’s export boom began.",No crash,No crash,No crash,$100B (U.S. aid),Medium (U.S. companies)/Medium (global),Corporate profits soared; Japan became export powerhouse; long cycle raised crash risk.,"Long cycle, crash risk","Kennedy (Democrat)/Macmillan (Conservative, UK)/Adenauer (CDU, Germany)/Ikeda (LDP, Japan)",No crash,No crash
Kennedy (Democrat),1961-1963,"Macmillan (Conservative, UK), Adenauer (CDU, Germany), Ikeda (LDP, Japan)",None,"No crash: 1962 drop (-5.7%), tax cuts, space program","No crash: UK (FTSE +15%), Germany (DAX +20%), Japan (Nikkei +30%)","Nov 22, 1963: Lee Harvey Oswald shot Kennedy in Dallas; killed, died instantly","Pre-Crash: Stable growth, $310B debt, P/E ~18. Triggers: No crash, 1962 dip (P/E correction). Post-Crash: Tax cuts ($11B), space program ($5B), P/E ~18, Vietnam spending began, inflation risk.",No crash,No crash,No crash,$50B (U.S. aid),Medium (U.S. Wall Street)/Medium (global),U.S. tech growth started; global markets stable; Vietnam spending set inflation risks.,"Long cycle, crash risk","Johnson (Democrat)/Douglas-Home (Conservative, UK)/Erhard (CDU, Germany)/Sato (LDP, Japan)",No crash,No crash[](https://en.wikipedia.org/wiki/List_of_United_States_presidential_assassination_attempts_and_plots)
Johnson (Democrat),1963-1969,"Douglas-Home/Wilson (Conservative/Labour, UK), Erhard/Kiesinger (CDU, Germany), Sato (LDP, Japan)",None,"No crash: Social programs, Vietnam raised prices","No crash: UK (FTSE +10%), Germany (DAX +15%), Japan (Nikkei +25%)",None,"Pre-Crash: Great Society ($50B), Vietnam escalation ($50B), low debt (40% GDP). Triggers: No crash. Post-Crash: $100B social/war spending, inflation (6%), $360B debt, set Nixon’s crashes, Japan/Germany export growth.",No crash,No crash,$900B gain,$900B (U.S. social/war),Medium (U.S. military)/Medium (global),Inflation spiked to 6%; Vietnam drained U.S.; Japan/Germany became export leaders.,"Long cycle, crash risk","Nixon (Republican)/Wilson (Labour, UK)/Kiesinger (CDU, Germany)/Sato (LDP, Japan)",Scapegoat: S&P 500 -25%/-48%,No crash
Nixon (Republican),1969-1974,"Wilson/Heath (Labour/Conservative, UK), Brandt (SPD, Germany), Tanaka (LDP, Japan)","Jan 1970, -25% (MSCI World)","Scapegoat: S&P 500 -25%; Carter (Democrat, 1977-1981): Volcker’s rate hikes, recovery by 1972","Scapegoat: UK (FTSE -30%), Germany (DAX -20%), Japan (Nikkei -15%)",None,"Pre-Crash: Vietnam costs ($120B), inflation (5%), P/E ~20, $500B debt. Triggers: Fed tightening, Bretton Woods end (1971). Post-Crash: Dollar devalued, banks profited, recession (1970-71), inflation 6%, global markets slowed.",2 (1972),41,$200B loss,$15B (U.S. easing),Medium (U.S. banks)/Medium (global),Dollar float enriched banks; UK/Germany hit by inflation; Japan resilient via exports.,"Post-crash, recovery potential","Ford (Republican)/Wilson (Labour, UK)/Schmidt (SPD, Germany)/Tanaka (LDP, Japan)","Hero: S&P 500 flat, FTSE +20%","50% (dollar change, banks gained)"
Nixon/Ford (Republican),1969-1977,"Heath/Wilson (Conservative/Labour, UK), Brandt/Schmidt (SPD, Germany), Tanaka/Miki (LDP, Japan)","Jan 1973-Oct 1974, -45% (MSCI World)","Scapegoat: S&P 500 -48%; Carter (Democrat, 1977-1981): Volcker’s 20% rates, Reagan tax cuts, recovery by 1982","Scapegoat: UK (FTSE -70%), Germany (DAX -40%), Japan (Nikkei -35%)","Feb 25, 1974: Samuel Byck attempted to hijack plane to crash into White House; killed by police","Pre-Crash: Rising oil prices, inflation (8%), $700B debt, P/E ~18. Triggers: OPEC embargo, Watergate, no Fed action. Post-Crash: Oil firms/banks gained, 15% inflation, global recession, UK strikes, Germany/Japan slowed.",8 (1982),3,$1.5T loss,$50B (U.S. aid),Medium (U.S. banks)/Medium (global oil),Oil companies profited; Nixon resigned; UK’s “Winter of Discontent”; Japan’s export model held.,"Low valuations, recovery potential","Carter (Democrat)/Callaghan (Labour, UK)/Schmidt (SPD, Germany)/Fukuda (LDP, Japan)","Hero: S&P 500 flat, FTSE +20%, DAX +25%, Nikkei +30%","60% (oil firms, banks gained)[](https://www.smithsonianmag.com/history/history-presidential-assassination-attempts-andrew-jackson-teddy-roosevelt-180984708/"
